"ASKÖ Henndorf Orienteering";"ASKÖ Henndorf"
"ASUB Orientation";"ASUB"
"Dandenong Ranges Orienteering Club";"Dandenong Ranges"
"Eksjö Garnisons";"Eksjö Garnison"
"Enköpings Garnisons";"Enköpings Garnison"
"Hagaby GoIF Örebro";"Hagaby GoIF"
"Halmstad Garnisons";"Halmstad Garnison"
"Helsingin Poliisi-Voimailijat";"Helsingin PV"
"Helsingin Suunnistajat";"Helsingin"
"IKHP Huskvarna";"IKHP"
"Idrottsföreningen OLGY Uppsala";"OLGY Uppsala"
"Kajaanin Suunnistajat";"Kajaanin"
"Kalajoen Junkkarit";"Kalajoen J."
"Kankaanpään Suunnistajat";"Kankaanpään"
"Karbennings GoIF";"Karbenning"
"Kouvolan Suunnistajat";"Kouvolan"
"Kuopion Suunnistajat";"Kuopion"
"Kymin Suunnistajat";"Kymin"
"OK Sør";"Sør"
"OK Tor";"Tor"
"OK Tyr";"Tyr"
"OK Øst";"Øst"
"OK24 Praha";"OK24 Praha"
"OK99 Hradec Kralove";"OK99"
"Røa IL";"Røa"
"Rønne Orientering";"Rønne"
"Røyken O-lag";"Røyken"
"S-E Bankens";"S-E Banken"
"SOIK Hellas";"Hellas"
"SOK 68";"SOK 68"
"Åby Skid o OK";"Åby"
"Åre OK";"Åre"
"Öje IF";"Öje"
Alleskolans;Alleskolan
Anderstorps;Anderstorp
Andrarums;Andrarum
Ankarsrums;Ankarsrum
Annebergs;Anneberg
Arvidsjaurs;Arvidsjaur
Askersunds;Askersund
Bergens;Bergen
Bergnäsets;Bergnäset
Birkenes;Birkenes
Bjurholms;Bjurholm
Björnstorps;Björnstorp
Bodens;Boden
Bolidens;Boliden
Bottnaryds;Bottnaryd
Boxholms;Boxholm
Bredareds;Bredared
Bredaryds;Bredaryd
Brittatorps;Brittatorp
Burseryds;Burseryd
Bækkelagets;Bækkelaget
Dackeskolans;Dackeskolan
Dalaportens;Dalaporten
Dalregementets;Dalregementet
Djurgårdens;Djurgården
Djurs;Djur
Domnarvets;Domnarvet
